Name,Country,State,ARR
Apex Dynamics,US,US-CA,142000
Meridian Health Systems,US,US-TX,310000
Brightwave Analytics,US,US-NY,88000
Stratos Financial,US,US-IL,225000
Ironclad Logistics,US,US-OH,67000
Cascade Software,US,US-WA,198000
Summit Energy Partners,US,US-CO,115000
BlueSky Ventures,US,US-MA,275000
Redwood Capital,US,US-CA,430000
TerraForm Industries,US,US-TX,92000
Vantage Point Media,US,US-NY,160000
Harbinger Tech,US,US-GA,54000
Orion Fleet Services,US,US-MI,38000
Nexus Biotech,US,US-NC,210000
Pinnacle Retail Group,US,US-FL,77000
Alloy Systems,US,US-PA,133000
Driftwood Consulting,US,US-MN,49000
Focal Point Labs,US,US-WA,320000
Criterion Data,US,US-CO,95000
Lighthouse Insurance,US,US-CT,185000
Quantum Freight,US,US-TN,61000
Skyline Architecture,US,US-AZ,44000
Ember Cloud,US,US-TX,270000
Crossroads Payments,US,US-IL,155000
Foundry Analytics,US,US-CA,380000
Northstar Consulting,GB,,128000
Albion Capital,GB,,215000
Meridian Fintech,DE,,175000
Rhine Digital,DE,,98000
Soleil Media Group,FR,,143000
Lumina Pharma,FR,,290000
Nordic SaaS,SE,,112000
Fjord Logistics,NO,,67000
Polaris Energy,NO,,88000
Baltic Data,FI,,55000
Vortex Systems,NL,,201000
Delta Commerce,NL,,134000
Iberian Networks,ES,,76000
Catalan Cloud,ES,,59000
Adriatic Ventures,IT,,145000
Roma Analytics,IT,,82000
Danube Software,AT,,63000
Alpine Fintech,CH,,310000
Zenith Corp,AU,,178000
Outback Logistics,AU,,94000
Pacific Rim Data,AU,,137000
Kiwi Analytics,NZ,,58000
Sakura Technologies,JP,,245000
Fuji Data Systems,JP,,189000
Hanyang Group,KR,,167000
Seoul SaaS,KR,,112000
Dragon Commerce,CN,,320000
Yangtze Analytics,CN,,215000
Monsoon Data,IN,,88000
Bangalore Cloud,IN,,134000
Mumbai Fintech,IN,,76000
Lion City Software,SG,,198000
Merlion Analytics,SG,,143000
Bumi Systems,ID,,67000
Mekong Data,VN,,45000
Condor Analytics,BR,,112000
Copacabana Cloud,BR,,78000
Andes Logistics,CO,,55000
Pampas Software,AR,,43000
Aztec Systems,MX,,134000
Tequila Tech,MX,,89000
Maple Cloud,CA,,210000
Rockies Analytics,CA,,155000
Savanna Data,ZA,,98000
Nairobi SaaS,KE,,54000
Lagos Commerce,NG,,41000
Nile Analytics,EG,,67000
Gulf Fintech,AE,,185000
Riyadh Cloud,SA,,143000
Doha Systems,QA,,112000
Bosphorus Tech,TR,,88000
Vistula Data,PL,,72000
Danube Cloud,CZ,,61000
Balkan Analytics,RS,,38000
Adriatic SaaS,HR,,44000
